source_index,uncommonsense_context,commonsense_context,outcome
0,Laverne needs to prepare something for her friend's party. She decides to bake a batch of brownies. She chooses a recipe and follows it closely. Laverne tests one of the brownies and it is heavenly delicious.,Laverne needs to prepare something for her friend's party. She decides to bake a batch of brownies. She chooses a recipe and follows it closely. Laverne tests one of the brownies and it tastes embarassingly bad.,Laverne doesn't go to her friend's party.
1,Sarah had been dreaming of visiting Europe for years. She had finally saved enough for the trip. She landed in Spain and traveled east across the continent. She didn't like how different everything was.,Sarah had been dreaming of visiting Europe for years. She had finally saved enough for the trip. She landed in Spain and traveled east across the continent. She loved how different everything was.,Sarah then decided to move to Europe.
3,It was my final performance in marching band. I was playing the snare drum in the band. We played Thriller and Radar Love. The performance was flawless.,It was my final performance in marching band. I was playing the snare drum in the band. We played Thriller and Radar Love. The performance was horrible.,I was very ashamed of my performance.
4,"I had been giving this homeless man change everyday. He was on the same corner near my house. One day, as I was driving through my neighborhood I saw a new car. Soon enough, I saw the same homeless man emerge from it!","I had been giving this homeless man change everyday. He was on the same corner near my house. One day, as I was driving through my neighborhood I saw a new car. Soon enough, I saw the same homeless man asking the driver for money.",The next day I gave the man twenty dollars.
5,Jim found an old disposable camera in the bottom of his junk drawer. He began snapping away at everything around him. The counter clicked down to one final photo. The gravity of the situation began to dawn on Jim.,"Jim found an old disposable camera in the bottom of his junk drawer. He began snapping away at everything around him. The counter clicked down to one final photo. Luckily, he found another unused disposable camera.",Jim took 20 more photos.
6,"Ron started his new job as a landscaper today. He loves the outdoors and has always enjoyed working in it. His boss tells him to re-sod the front yard of the mayor's home. Ron is ecstatic, does a thorough job and finishes super early.","Ron started his new job as a landscaper today. He dislikes the outdoors and has always hated working in it. His boss tells him to re-sod the front yard of the mayor's home. Ron is upset, does a lousy job and finishes super early.",Ron is immediately fired for insubordination.
7,John and Billy became very skilled at beer pong. They entered a contest in college. They won the contest and advanced to the next level. The next level sent them to Vegas.,John and Billy became very skilled at beer pong. They entered a contest in college. They lost the contest and could not advance to the next level. The next level could have sent them to Vegas.,John and Billy were disappointed.
8,Caroline was a student in medical school. Caroline worked very hard to get good grades. One day Caroline failed a test by one point. Caroline was very frustrated but she continued to study hard.,Caroline was a student in medical school. Caroline worked very hard to get good grades. One day Caroline failed a test by one point. Caroline was very frustrated and did not want to study anymore.,In the end she gave up.
10,"A man walked up to Corey as he pumped gas into his car. The guy admired Corey's car and started a conversation. When he finished pumping gas, the man punched Corey.","A man walked up to Corey as he pumped gas into his car. The guy admired Corey's car and started a conversation. When he finished pumping gas, the man waved goodbye at Corey.",Corey didn't mind at all.
11,Marcy received a valentine from her boyfriend. It was a card with a gift card in it for chocolates. She was happy and immediately ordered the chocolates. Her boyfriend came over and asked if she liked it.,Marcy received a valentine from her boyfriend. It was a card with a gift card in it for chocolates. But she expected her boyfriend to know she didn't like chocolates. Her boyfriend came over and asked if she liked it.,Marcy shrugged her shoulders and reached for the TV remote.
12,Cara went to a food cart in Philadelphia the other day. She stopped by an amazing falafel cart. The food was amazing. Cara couldn't believe how good it was.,Cara went to a food cart in Philadelphia the other day. She stopped by a falafel cart. The food was horrible. Cara couldn't believe how bad it was.,Cara told the owner that the food was awful.
14,"Ignacio wants to play a sport while he is in college. Since he is a good swimmer, he decides to try out for swim the team. Ignacio makes it onto the team easily. At the first swim meet, Ignacio wins second place!","Ignacio wants to play a sport while he is in college. He is a bad swimmer, but he decides to try out for swim the team nevertheless. Sadly Ignacio did not make it onto the team. ",Ignacio gave up swimming.
15,Danny bought a boat. His nearby marina was having a race. He decided to enter. Danny and his best friend manned the boat.,Danny bought a boat. His nearby marina was having a race. He initially wanted to enter. But he had a food coma after lunch.,Danny decided to go to sleep.
17,Ellen dreamed of winning a prize for her roses. She planned to enter her special purple rose at the fair. She fertilized the rose bush and covered it each night. The roses grew more beautiful every day.,"Ellen dreamed of winning a prize for her roses. She planned to enter her special purple rose at the fair. She fertilized the rose bush and covered it each night, but the roses failed to bloom as beautifully as she expected.",Ellen decided to nurture sunflowers instead.
18,"Jesse had just started fifth grade. He tried to make friends with the other boys, but he couldn't. He decided to make friends with the girls instead. The girls welcomed him into their social groups happily.","Jesse had just started fifth grade. He tried to make friends with the other girls, but he couldn't. He decided to make friends with the boys instead. All the boys liked him.","Jesse went to the park with his new friend, Roger."
19,"Tiffany was getting overwhelmed at work. While she liked her job, she longed for a break. One day, she tripped outside on uneven pavement. She broke her ankle and had to be off work for a couple months.","Tiffany was getting deeply engaged in her work. She liked her job and did not wish for a break. One day, she tripped outside on uneven pavement. Thankfully she did not break her ankle and the doctor said she could walk without issues.",Tiffany went in to work the next day.
21,Alice was getting married in a few weeks. She called her parents to come to the weddding. She asked them to give a speech. She was excited to marry the love of her life.,Alice was getting married in a few weeks. She told her parents not to come. She did not want to marry her fiancé anymore. She was thinking about other men.,Alice messaged a cute guy she saw on Tinder.
23,"Nya had been asked on a paintball trip with friends. She was nervous about going. But she went anyways, hoping to have fun. She shot paintballs at her friends and laughed the whole time.","Nya had been asked on a paintball trip with friends. She was nervous about going. But she went anyways, hoping to have fun. Her friends shot paintballs at her and it stressed her out.",She vowed to never shoot paintballs ever again.
24,Rachel decided to donate blood at the local blood drive. She was a little nervous because this was her first time. The next day Rachel received a call from the doctor that she saw. The doctor told her that he had bad news.,Rachel decided to donate blood at the local blood drive. She was a little nervous because this was her first time. The next day Rachel received a call from the doctor that she saw. The doctor told her that she was the lucky winner of a cash prize in the blood donor lottery.,Rachel started moonwalking with excitement.
26,Sam loved his old belt. He matched it with everything. Unfortunately he gained too much weight. It became too small.,Sam loved his old belt. He matched it with everything. He strived to maintain his weight so he could wear his belt over all these years.,Sam was still happy to wear his belt.
27,Larry bought a new motorcycle. He was excited to look cool. The first time he tried riding it he dropped it. He hurt his leg and had to go to the hospital.,Larry bought a new motorcycle. He was excited to look cool. The first time he tried riding it he sped through the streets and the girls checked him out.,Larry loved getting around on the motorcycle.
28,I went on a blind date a few days ago. She was cute and friendly. We were set up through a co worker. We seem to have some things in common.,I went on a blind date a few days ago. She was mean and ugly. We were set up through a co worker. Sadly our value systems did not align either.,We broke up right away.
29,Sammy's coffee grinder was broken. He needed something to crush up his coffee beans. He put his coffee beans in a plastic bag. He tried crushing them with a hammer.,Sammy's coffee grinder was broken. He tossed it out and got his girlfriend coffee from Starbucks instead. He got himself bubble tea from another store.,Sammy was not that into coffee.
31,Bobby needed to get home from work late one night. He decided that he was going to hail a taxi. When he was in the taxi he realized that he knew the driver. On the way home they chatted about things.,Bobby got off work and was hungry one night. He hailed a taxi. When he was in the taxi he realized that he knew the driver. On the way home they chatted about delicious food in the city.,Bobby asked to be taken to a restaurant.
32,"Joe grew a big batch of peas in his garden. He brought the peas inside and shelled them all. Then he cooked them up in a big pot. He added ham, bacon, and carrots to make thick pea soup.","Joe grew a big batch of peas in his garden. He brought the peas inside and shelled them all. Then he cooked them up in a big pot. He added ham, bacon, and carrots to make thick pea soup for his friend, but he forgot that his friend was vegetarian.",Joe dumped the pot into the trash.
